Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
21/ 11/ 2018,11750.00,34250.00,115750.00,24050.00,26100.00,24400.00,32700.00,37800.00,13300.00,13300.00
22/ 11/ 2018,11750.00,34300.00,115750.00,24100.00,26100.00,24400.00,32600.00,38250.00,13300.00,13300.00
23/ 11/ 2018,11750.00,34450.00,115750.00,24200.00,26100.00,24300.00,32400.00,37500.00,13300.00,13300.00
26/ 11/ 2018,11750.00,35050.00,115750.00,24400.00,26550.00,24300.00,32450.00,37600.00,13250.00,13300.00
27/ 11/ 2018,11750.00,35300.00,115750.00,24400.00,26600.00,24250.00,32200.00,37350.00,13250.00,13300.00
28/ 11/ 2018,11800.00,35350.00,115750.00,24450.00,26800.00,24250.00,32150.00,37400.00,13250.00,13300.00
29/ 11/ 2018,11800.00,35450.00,115700.00,24600.00,26900.00,24150.00,32200.00,37650.00,13250.00,13300.00
30/ 11/ 2018,11800.00,35500.00,115600.00,24650.00,27200.00,24250.00,32550.00,38000.00,13250.00,13300.00
03/ 12/ 2018,11800.00,35650.00,115650.00,25000.00,28050.00,24100.00,32600.00,38750.00,13250.00,13300.00
04/ 12/ 2018,11800.00,35700.00,115750.00,25200.00,28150.00,24100.00,32500.00,38700.00,13250.00,13250.00
05/ 12/ 2018,11800.00,35850.00,115750.00,25350.00,28300.00,24150.00,32500.00,38800.00,13200.00,13250.00
06/ 12/ 2018,11800.00,35850.00,115750.00,25450.00,28550.00,24150.00,32500.00,39050.00,13200.00,13250.00
07/ 12/ 2018,11800.00,35750.00,115750.00,25550.00,28750.00,24150.00,33000.00,39200.00,13200.00,13250.00
10/ 12/ 2018,11800.00,35850.00,115650.00,25700.00,29350.00,24150.00,33250.00,38550.00,13200.00,13250.00
11/ 12/ 2018,11800.00,36000.00,115600.00,25800.00,29500.00,24050.00,33500.00,38700.00,13200.00,13250.00
12/ 12/ 2018,11800.00,36100.00,115750.00,26000.00,29850.00,24000.00,33250.00,38350.00,13200.00,13250.00
13/ 12/ 2018,11800.00,36050.00,115650.00,26100.00,29900.00,24000.00,33250.00,38300.00,13200.00,13250.00
14/ 12/ 2018,11800.00,36150.00,115650.00,26150.00,30000.00,23900.00,33450.00,38450.00,13200.00,13250.00
17/ 12/ 2018,11800.00,36650.00,115500.00,26250.00,30300.00,23900.00,33500.00,38250.00,13200.00,13200.00
18/ 12/ 2018,11800.00,37100.00,115650.00,26300.00,30500.00,24050.00,33600.00,38350.00,13300.00,13150.00
19/ 12/ 2018,11800.00,37300.00,115700.00,26350.00,30600.00,24100.00,33900.00,38650.00,13200.00,13250.00
20/ 12/ 2018,11800.00,37600.00,115750.00,26450.00,30650.00,24050.00,33900.00,38800.00,13200.00,13250.00
21/ 12/ 2018,11850.00,37850.00,115800.00,26450.00,30750.00,24000.00,33900.00,39200.00,13200.00,13250.00
24/ 12/ 2018,11500.00,39200.00,115900.00,27550.00,31650.00,24150.00,37950.00,43100.00,12850.00,13300.00
25/ 12/ 2018,11000.00,39750.00,117200.00,26750.00,28000.00,24250.00,29150.00,36800.00,12100.00,12550.00
26/ 12/ 2018,11850.00,39100.00,116450.00,27500.00,31200.00,24500.00,34300.00,41550.00,13200.00,13300.00
27/ 12/ 2018,11800.00,39200.00,116150.00,27100.00,31300.00,24150.00,34450.00,41750.00,13200.00,13250.00
28/ 12/ 2018,11850.00,39550.00,116000.00,26800.00,31450.00,24200.00,34650.00,41650.00,13200.00,13250.00
31/ 12/ 2018,11850.00,40050.00,115700.00,26950.00,32250.00,24150.00,34400.00,41650.00,13200.00,13200.00
01/ 01/ 2019,12400.00,43250.00,123000.00,25950.00,31750.00,24650.00,34850.00,41350.00,11850.00,12900.00
02/ 01/ 2019,11850.00,39700.00,115800.00,26850.00,32500.00,24050.00,34400.00,41850.00,13150.00,13200.00
03/ 01/ 2019,11850.00,39350.00,115800.00,26800.00,32750.00,23950.00,33900.00,42500.00,13150.00,13200.00
04/ 01/ 2019,11850.00,39150.00,115800.00,26750.00,32850.00,24000.00,33600.00,41800.00,13150.00,13200.00
07/ 01/ 2019,11850.00,38500.00,115500.00,26500.00,33350.00,24050.00,33000.00,40250.00,13150.00,13200.00
08/ 01/ 2019,11900.00,38100.00,115450.00,26350.00,33700.00,24050.00,32750.00,39600.00,13150.00,13200.00
09/ 01/ 2019,11900.00,37850.00,115450.00,26350.00,33800.00,24100.00,32400.00,39300.00,13150.00,13200.00
10/ 01/ 2019,11900.00,37500.00,115450.00,26300.00,33850.00,24050.00,32100.00,38850.00,13150.00,13200.00
11/ 01/ 2019,11900.00,37150.00,115400.00,26300.00,33650.00,24150.00,31700.00,38550.00,13150.00,13200.00
14/ 01/ 2019,11900.00,36250.00,115400.00,26200.00,33500.00,24100.00,31000.00,37400.00,13150.00,13200.00
15/ 01/ 2019,11900.00,36150.00,115400.00,26150.00,33400.00,24150.00,30700.00,37000.00,13150.00,13100.00
16/ 01/ 2019,11900.00,36050.00,115400.00,26050.00,33400.00,24050.00,29800.00,36450.00,13150.00,13100.00
17/ 01/ 2019,11900.00,35950.00,115400.00,26000.00,33350.00,24050.00,29700.00,36300.00,13150.00,13100.00
18/ 01/ 2019,11900.00,35800.00,115400.00,25950.00,33350.00,24100.00,30100.00,36200.00,13150.00,13100.00
21/ 01/ 2019,11900.00,35200.00,115450.00,25700.00,33050.00,23950.00,28850.00,34650.00,13150.00,13100.00
22/ 01/ 2019,11900.00,35050.00,115450.00,25700.00,33000.00,23900.00,28800.00,34150.00,13150.00,13100.00
23/ 01/ 2019,11900.00,34800.00,115450.00,25550.00,32700.00,23950.00,28600.00,33900.00,13100.00,13100.00
24/ 01/ 2019,11900.00,34550.00,115450.00,25450.00,32600.00,24000.00,28750.00,33800.00,13100.00,13100.00
25/ 01/ 2019,11900.00,34300.00,115500.00,25350.00,32300.00,24000.00,28600.00,33800.00,13150.00,13100.00
28/ 01/ 2019,11950.00,33900.00,115850.00,25300.00,31450.00,24000.00,28400.00,33200.00,13150.00,13100.00
